Ag-3-a -3.23493266
Ag-3-b -3.21992455
Ag-3-lit -3.2445294
Ag-4-a -5.43249609
Ag-4-e -5.34087661
Ag-4-f -5.23140545
Ag-4-lit -5.47790249
Ag-4-m -4.81624808
Ag-4-n -4.71760179
Ag-4-r -4.11198031
Ag-5-a -7.32321918
Ag-5-lit -7.3414277
Ag-5-m -7.09663231
Ag-5-n -6.93853022
Ag-5-p -6.77940557
Ag-5-q -6.69428556
Ag-5-r -6.59791838
Ag-5-s -6.45707802
Ag-5-u -6.40088803
Ag-5-v -6.29701568
Ag-5-w -6.28594581
Ag-5-x -6.00215338
Ag-6-a -9.81863222
Ag-6-f -9.58858226
Ag-6-i -9.54102802
Ag-6-lit -9.89599744
Ag-6-o -9.13052877
Ag-6-p -8.79875795
Ag-6-q -8.70737231
Ag-6-t -8.68189163
Ag-6-u -8.45528152
Ag-6-v -8.35285425
Ag-6-w -8.30151749
Ag-6-x -8.2338617
Ag-7-a -11.6093847
Ag-7-d -11.32889944
Ag-7-e -11.32565563
Ag-7-h -11.27164771
Ag-7-i -11.18564162
Ag-7-lit -11.64749333
Ag-7-l -11.17069938
Ag-7-n -11.16382138
Ag-7-p -11.15148346
Ag-7-u -11.06189712
Ag-7-v -10.88754006
Ag-7-w -10.67988505
Ag-7-x -10.50872768
Ag-7-y -10.15238789
Ag-8-a -14.05190235
Ag-8-b -14.02243299
Ag-8-d -13.90594243
Ag-8-k -13.69951543
Ag-8-lit -14.1129879
Ag-8-l -13.50258608
Ag-8-m -13.49975494
Ag-8-n -13.43061723
Ag-8-o -13.3993349
Ag-8-p -13.39731654
Ag-8-q -13.34969648
Ag-8-t -13.29006229
Ag-8-u -13.1452959
Ag-8-v -13.03395445
Ag-8-w -12.64908396
Ag-8-x -12.60978883
Ag-9-a -15.60121035
Ag-9-d -15.56847606
Ag-9-f -15.55233484
Ag-9-j -15.4550803
Ag-9-lit -15.61346097
Ag-9-l -15.43924141
Ag-9-m -15.42202396
Ag-9-o -15.24962586
Ag-9-p -15.2162619
Ag-9-q -15.18949403
Ag-9-r -15.07594775
Ag-9-s -15.06356621
Ag-9-u -14.95795821
Ag-9-v -14.87769613
Ag-9-w -14.80437221
Ag-9-x -14.66605647
Ag-9-y -14.06794639
Ag-10-a -17.92099165
Ag-10-b -17.91188611
Ag-10-c -17.76174155
Ag-10-d -17.70970342
Ag-10-e -17.70315589
Ag-10-f -17.69767692
Ag-10-g -17.69207339
Ag-10-h -17.68803908
Ag-10-i -17.68544922
Ag-10-j -17.67374876
Ag-10-k -17.65722254
Ag-10-lit -17.94020715
Ag-10-m -17.51991469
Ag-10-n -17.51190171
Ag-10-o -17.50949398
Ag-10-q -17.39574698
Ag-10-r -17.34605602
Ag-10-s -17.25598497
Ag-10-t -17.21887496
Ag-10-u -17.00250709
Ag-10-w -16.95840335
Ag-11-a -19.83275566
Ag-11-e -19.75740159
Ag-11-g -19.74307226
Ag-11-j -19.59549908
Ag-11-lit -19.84026709
Ag-11-l -19.54772798
Ag-11-m -19.53759511
Ag-11-o -19.37798761
Ag-11-p -19.29755377
Ag-11-q -19.29628704
Ag-11-r -19.28385836
