,C,S,Se,P,As,Te,Ge,Sn,Si,Ga,B,Cd,Hg,Sb,Bi,Zn,Mg,Na,K,Au,Ag,Ba,Sr,Ca,Cs,Cu,Pd,Al,Tl,In,Ni,Co,Hf,Zr,Mo,Ti,Ta,Sc,Y,Rh,Ru,Pt,Ir,Os,Re,Pb,V,Nb,W,Cr,Be,Li,Fe,Mn,Rb
Tl,-0.81,-0.70,-0.62,-0.62,-0.53,-0.52,-0.46,-0.32,-0.22,-0.11,0.11,0.12,0.22,0.26,0.36,0.65,0.77,0.84,0.86,0.90,0.91,0.93,0.92,0.94,0.96,0.96,0.97,0.98,1.00,0.99,0.97,0.97,0.96,0.95,0.94,0.95,0.95,0.96,0.96,0.96,0.95,0.95,0.93,0.91,0.93,0.91,0.89,0.89,0.85,0.85,0.88,0.87,0.84,0.62,0.63
In,-0.85,-0.76,-0.69,-0.68,-0.60,-0.59,-0.54,-0.41,-0.30,-0.20,0.05,0.04,0.14,0.21,0.31,0.61,0.76,0.82,0.84,0.89,0.89,0.91,0.91,0.93,0.95,0.95,0.96,0.97,0.99,1.00,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.95,0.94,0.93,0.95,0.94,0.92,0.92,0.89,0.88,0.90,0.88,0.86,0.65,0.62
Ni,-0.85,-0.77,-0.69,-0.68,-0.60,-0.59,-0.51,-0.38,-0.26,-0.21,0.04,0.12,0.19,0.22,0.32,0.70,0.78,0.81,0.85,0.90,0.92,0.94,0.94,0.96,0.97,0.98,0.99,0.96,0.97,0.98,1.00,1.00,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.99,0.97,0.97,0.96,0.95,0.97,0.96,0.93,0.93,0.90,0.89,0.90,0.90,0.87,0.64,0.61
Co,-0.86,-0.79,-0.72,-0.71,-0.63,-0.63,-0.54,-0.41,-0.30,-0.26,0.01,0.07,0.13,0.20,0.30,0.68,0.76,0.80,0.84,0.89,0.90,0.92,0.93,0.95,0.96,0.97,0.97,0.95,0.97,0.98,1.00,1.00,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.96,0.96,0.96,0.98,0.97,0.94,0.95,0.92,0.90,0.91,0.91,0.87,0.64,0.58
Hf,-0.90,-0.82,-0.75,-0.74,-0.67,-0.67,-0.57,-0.44,-0.32,-0.29,-0.02,0.05,0.13,0.12,0.22,0.66,0.78,0.80,0.82,0.84,0.87,0.94,0.95,0.96,0.95,0.96,0.96,0.94,0.96,0.97,0.98,0.99,1.00,1.00,0.99,1.00,1.00,0.99,0.99,0.96,0.94,0.92,0.91,0.91,0.96,0.98,0.96,0.96,0.93,0.92,0.93,0.91,0.90,0.64,0.57
Zr,-0.91,-0.84,-0.77,-0.77,-0.70,-0.69,-0.59,-0.47,-0.35,-0.31,-0.03,0.01,0.10,0.08,0.18,0.64,0.77,0.80,0.82,0.83,0.86,0.93,0.94,0.96,0.95,0.95,0.95,0.94,0.95,0.97,0.98,0.98,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.95,0.93,0.92,0.91,0.91,0.96,0.98,0.96,0.97,0.94,0.92,0.94,0.91,0.90,0.65,0.58
Mo,-0.89,-0.84,-0.78,-0.77,-0.69,-0.70,-0.59,-0.47,-0.35,-0.33,-0.03,0.00,0.06,0.12,0.21,0.64,0.79,0.78,0.81,0.82,0.84,0.90,0.91,0.94,0.93,0.93,0.93,0.93,0.94,0.96,0.97,0.98,0.99,0.99,1.00,0.99,0.99,0.97,0.97,0.95,0.93,0.92,0.92,0.92,0.97,0.99,0.96,0.97,0.95,0.92,0.93,0.91,0.89,0.63,0.54
Ti,-0.89,-0.81,-0.74,-0.74,-0.67,-0.66,-0.55,-0.43,-0.31,-0.27,-0.03,0.05,0.13,0.09,0.19,0.65,0.77,0.78,0.80,0.82,0.86,0.94,0.96,0.97,0.95,0.95,0.95,0.95,0.95,0.96,0.98,0.98,1.00,0.99,0.99,1.00,0.99,0.99,0.99,0.95,0.92,0.90,0.90,0.89,0.94,0.97,0.95,0.96,0.92,0.91,0.93,0.91,0.90,0.63,0.56
Ta,-0.87,-0.79,-0.72,-0.71,-0.63,-0.64,-0.52,-0.39,-0.27,-0.24,0.03,0.08,0.17,0.14,0.25,0.67,0.80,0.80,0.82,0.84,0.87,0.94,0.95,0.97,0.95,0.95,0.96,0.95,0.95,0.96,0.98,0.98,1.00,0.99,0.99,0.99,1.00,0.99,0.99,0.95,0.92,0.91,0.90,0.89,0.95,0.97,0.95,0.95,0.91,0.90,0.92,0.91,0.89,0.62,0.56
Sc,-0.88,-0.79,-0.71,-0.71,-0.64,-0.63,-0.52,-0.39,-0.27,-0.23,0.02,0.10,0.18,0.10,0.21,0.68,0.78,0.81,0.84,0.84,0.89,0.96,0.97,0.98,0.97,0.96,0.96,0.95,0.96,0.96,0.98,0.98,0.99,0.99,0.97,0.99,0.99,1.00,1.00,0.95,0.93,0.91,0.90,0.89,0.94,0.95,0.94,0.94,0.90,0.90,0.92,0.91,0.90,0.64,0.59
